Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Musammil, N.M., Porsezian, K., Nithyanandan, K., Subha, P.A., Tchofo Dinda, P.","55813729600;35561975500;36246432800;15846997000;6604078297;","Ultrashort dark solitons interactions and nonlinear tunneling in the modified nonlinear Schrödinger equation with variable coefficient",2017,"Optical Fiber Technology","37",,,"11","20",,7,"10.1016/j.yofte.2017.06.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021171224&doi=10.1016%2fj.yofte.2017.06.006&partnerID=40&md5=99312e4cc0656d3ffde54e8b615afb14",Article,"Final","",Scopus,2-s2.0-85021171224
"Krupa, K., Nithyanandan, K., Andral, U., Tchofo-Dinda, P., Grelu, P.","23467266100;36246432800;56826146800;6604078297;6602757933;","Real-Time Observation of Internal Motion within Ultrafast Dissipative Optical Soliton Molecules",2017,"Physical Review Letters","118","24", 243901,"","",,158,"10.1103/PhysRevLett.118.243901","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020548295&doi=10.1103%2fPhysRevLett.118.243901&partnerID=40&md5=9fa917dce3363ac2aa7e2ce693c63c1d",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85020548295
"Musammil, N.M., Porsezian, K., Subha, P.A., Nithyanandan, K.","55813729600;35561975500;15846997000;36246432800;","Dynamics of vector dark solitons propagation and tunneling effect in the variable coefficient coupled nonlinear schrödinger equation",2017,"Chaos","27","2", 023113,"","",,6,"10.1063/1.4976514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013877667&doi=10.1063%2f1.4976514&partnerID=40&md5=997833bd33e5dfcd55f0cf9f131a0bb4",Article,"Final","",Scopus,2-s2.0-85013877667
"Nithyanandan, K.","36246432800;","Observation of optical bistability in oppositely directed coupler",2017,"Optics InfoBase Conference Papers","Part F78-JSAP 2017",,,"","",1,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039557372&partnerID=40&md5=228991220de8ec4fee04f132d01a5924",Conference Paper,"Final","",Scopus,2-s2.0-85039557372
"Nithyanandan, K.","36246432800;","Optical bistability in dual core directional coupler with negative index material channel",2017,"Optics InfoBase Conference Papers","Part F66-FiO 2017",,,"","",2,,"10.1364/FIO.2017.JW4A.123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035136389&doi=10.1364%2fFIO.2017.JW4A.123&partnerID=40&md5=3b099baf5fb23d349667988d2ae7cfea",Conference Paper,"Final","",Scopus,2-s2.0-85035136389
"Porsezian, K., Ali, A.K.S., Nithyanandan, K.","35561975500;56401131700;36246432800;","A theoretical study on threshold conditions of modulation instability in oppositely directed couplers",2016,"Journal of Optics (United Kingdom)","18","12", 125502,"","",,4,"10.1088/2040-8978/18/12/125502","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009982967&doi=10.1088%2f2040-8978%2f18%2f12%2f125502&partnerID=40&md5=9e42b593166f9cc0f02815710a41a477",Article,"Final","",Scopus,2-s2.0-85009982967
"Shafeeque Ali, A.K., Nithyanandan, K., Porsezian, K., Dinda, P.T.","56401131700;36246432800;35561975500;7006032810;","Optical Bistability and Switching in Oppositely Directed Coupler",2016,"IEEE Journal of Quantum Electronics","52","12", 7587375,"","",,3,"10.1109/JQE.2016.2616130","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994824096&doi=10.1109%2fJQE.2016.2616130&partnerID=40&md5=9c55923b46e58ed189ee346f37f9e9ab",Article,"Final","",Scopus,2-s2.0-84994824096
"Bhuvaneswari, S., Nithyanandan, K., Muruganandam, P., Porsezian, K.","57217139806;36246432800;6603283212;35561975500;","Modulation instability in quasi-two-dimensional spin-orbit coupled Bose-Einstein condensates",2016,"Journal of Physics B: Atomic, Molecular and Optical Physics","49","24", 245301,"","",,11,"10.1088/0953-4075/49/24/245301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003454655&doi=10.1088%2f0953-4075%2f49%2f24%2f245301&partnerID=40&md5=ec23fcd0f631917d118f818fc01e3c44",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85003454655
"Nithyanandan, K., Porsezian, K.","36246432800;35561975500;","A novel power play in the supercontinuum generation induced by modulational instability in saturable nonlinear media",2016,"Optics InfoBase Conference Papers",,,,"","",3,,"10.1364/sof.2016.sow3g.6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088409509&doi=10.1364%2fsof.2016.sow3g.6&partnerID=40&md5=27b495be62cad7c953f1c38559dce9cb",Conference Paper,"Final","",Scopus,2-s2.0-85088409509
"Shafeeque Ali, A.K., Nithyanandan, K., Porsezian, K., Maimistov, A.I.","56401131700;36246432800;35561975500;7004367032;","Influence of birefringence in the instability spectra of oppositely directed coupler with negative index material channel",2016,"Physical Review A","93","2", 023848,"","",,11,"10.1103/PhysRevA.93.023848","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959471966&doi=10.1103%2fPhysRevA.93.023848&partnerID=40&md5=69ddfd0d36e35bcbb8592386700434e6",Article,"Final","",Scopus,2-s2.0-84959471966
